CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
2;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Azul;511;1;0
3;LC;18848;B;6;0;;3.48455;0.76589;0.20727;Amarela;552;0;0
3;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Azul;511;0;0
3;LC;25684;A;7;0;;2.98071;1.31605;0.19041;Branca;553;1;0
3;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Rosa;513;0;0
3;LC;32839;B;8;0;;2.92684;0.84376;0.17977;Rosa;554;1;0
3;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Azul;511;1;0
3;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Branca;514;0;0
3;LC;55170;A;5;0;;1.78899;0.13258;0.14052;Azul;551;1;0
3;LC;55170;A;5;0;;1.78899;0.13258;0.14052;Laranja;565;1;0
3;LC;77968;A;6;0;;2.96408;0.85341;0.17738;Azul;551;0;0
3;LC;77968;A;6;0;;2.96408;0.85341;0.17738;Branca;553;0;0
3;LC;77968;A;6;0;;2.96408;0.85341;0.17738;Laranja;565;0;0
3;LC;87810;B;6;0;;2.22466;0.47559;0.19743;Amarela;552;1;0
3;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Amarela;512;1;0
3;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Laranja;521;1;0
3;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Verde;525;1;1
3;LC;98030;B;8;0;;3.12924;0.93933;0.20486;Rosa;554;0;0
3;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Rosa;513;1;0
3;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Amarela;512;0;0
3;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Laranja;521;0;0
3;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Verde;525;0;1
3;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Branca;514;1;0
4;LC;17910;D;6;0;;2.64336;0.33110;0.17368;Amarela;552;1;0
4;LC;17910;D;6;0;;2.64336;0.33110;0.17368;Rosa;554;1;0
4;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Branca;514;0;0
4;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Azul;511;0;0
4;LC;32839;B;8;0;;2.92684;0.84376;0.17977;Azul;551;1;0
4;LC;32839;B;8;0;;2.92684;0.84376;0.17977;Branca;553;1;0
4;LC;32839;B;8;0;;2.92684;0.84376;0.17977;Laranja;565;1;0
4;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Amarela;512;1;0
4;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Laranja;521;1;0
4;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Verde;525;1;1
4;LC;40270;D;7;0;;3.22121;0.98521;0.20723;Branca;553;0;0
4;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Branca;514;1;0
4;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Amarela;512;0;0
4;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Laranja;521;0;0
4;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Verde;525;0;1
4;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Rosa;513;0;0
4;LC;77968;A;6;0;;2.96408;0.85341;0.17738;Rosa;554;0;0
4;LC;86116;E;5;0;;2.45918;0.54702;0.21337;Amarela;552;0;0
4;LC;98030;B;8;0;;3.12924;0.93933;0.20486;Azul;551;0;0
4;LC;98030;B;8;0;;3.12924;0.93933;0.20486;Laranja;565;0;0
4;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Azul;511;1;0
4;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Rosa;513;1;0
5;LC;17910;D;6;0;;2.64336;0.33110;0.17368;Branca;553;1;0
5;LC;18848;B;6;0;;3.48455;0.76589;0.20727;Azul;551;0;0
5;LC;18848;B;6;0;;3.48455;0.76589;0.20727;Laranja;565;0;0
5;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Amarela;512;0;0
5;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Laranja;521;0;0
5;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Verde;525;0;1
5;LC;25684;A;7;0;;2.98071;1.31605;0.19041;Amarela;552;1;0
5;LC;40270;D;7;0;;3.22121;0.98521;0.20723;Amarela;552;0;0
5;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Azul;511;1;0
5;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Branca;514;0;0
5;LC;55170;A;5;0;;1.78899;0.13258;0.14052;Rosa;554;1;0
5;LC;86116;E;5;0;;2.45918;0.54702;0.21337;Branca;553;0;0
5;LC;86116;E;5;0;;2.45918;0.54702;0.21337;Rosa;554;0;0
5;LC;87810;B;6;0;;2.22466;0.47559;0.19743;Azul;551;1;0
5;LC;87810;B;6;0;;2.22466;0.47559;0.19743;Laranja;565;1;0
5;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Rosa;513;1;0
5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Amarela;512;1;0
5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Branca;514;1;0
5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Laranja;521;1;0
5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Verde;525;1;1
5;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Azul;511;0;0
5;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Rosa;513;0;0
6;LC;60118;C;25;0;;1.96907;0.67402;0.18127;Rosa;554;;0
6;LC;77451;B;18;0;;1.72426;0.41141;0.19842;Branca;553;;0
6;LC;83841;D;30;0;;1.73320;0.41007;0.17919;Azul;551;;0
6;LC;83841;D;30;0;;1.73320;0.41007;0.17919;Laranja;565;;0
6;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Azul;511;;0
6;LC;118070;A;18;0;;1.51246;-0.12978;0.05576;Amarela;552;;0
6;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Rosa;513;;0
6;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Branca;514;;0
6;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Amarela;512;;0
6;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Laranja;521;;0
6;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Verde;525;;1
7;LC;38780;B;4;0;;1.67379;1.04217;0.22283;Rosa;554;;0
7;LC;42875;B;15;0;;2.13801;1.23586;0.15857;Branca;553;;0
7;LC;68155;E;23;0;;2.04517;1.17350;0.17667;Amarela;552;;0
7;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Amarela;512;;0
7;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Laranja;521;;0
7;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Verde;525;;1
7;LC;89089;B;17;0;;2.12752;1.89142;0.24171;Azul;551;;0
7;LC;89089;B;17;0;;2.12752;1.89142;0.24171;Laranja;565;;0
7;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Branca;514;;0
7;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Rosa;513;;0
7;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Azul;511;;0
8;LC;49170;C;22;0;;2.92675;0.25567;0.17805;Rosa;554;;0
8;LC;77601;E;21;0;;0.94826;0.35004;0.25475;Branca;553;;0
8;LC;82045;A;1;0;;1.76863;1.32651;0.16220;Azul;551;;0
8;LC;82045;A;1;0;;1.76863;1.32651;0.16220;Laranja;565;;0
8;LC;85383;B;16;0;;2.95200;1.14907;0.11488;Amarela;552;;0
8;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Rosa;513;;0
8;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Amarela;512;;0
8;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Laranja;521;;0
8;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Verde;525;;1
8;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Azul;511;;0
8;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Branca;514;;0
9;LC;47604;D;3;0;;3.23405;-0.16548;0.19344;Rosa;554;;0
9;LC;61358;D;28;0;;3.78515;1.03649;0.15304;Branca;553;;0
9;LC;83334;C;24;0;;2.63584;1.00589;0.13800;Amarela;552;;0
9;LC;86434;A;20;0;;1.90198;0.92717;0.19817;Azul;551;;0
9;LC;86434;A;20;0;;1.90198;0.92717;0.19817;Laranja;565;;0
9;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Branca;514;;0
9;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Azul;511;;0
9;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Amarela;512;;0
9;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Laranja;521;;0
9;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Verde;525;;1
9;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Rosa;513;;0
10;LC;37925;C;27;0;;6.73355;1.34252;0.15479;Azul;551;;0
10;LC;37925;C;27;0;;6.73355;1.34252;0.15479;Laranja;565;;0
10;LC;61312;A;12;0;;1.80505;0.43952;0.18841;Branca;553;;0
10;LC;68223;B;14;0;;1.61358;0.81326;0.20639;Amarela;552;;0
10;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Rosa;513;;0
10;LC;85698;E;16;0;;2.85248;1.45677;0.11615;Rosa;554;;0
10;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Branca;514;;0
10;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Azul;511;;0
10;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Amarela;512;;0
10;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Laranja;521;;0
10;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Verde;525;;1
11;LC;50074;A;19;0;;2.05995;2.07823;0.24568;Rosa;554;;0
11;LC;81621;B;23;0;;1.90137;0.70873;0.20236;Branca;553;;0
11;LC;87984;E;15;0;;1.57794;1.16158;0.24936;Amarela;552;;0
11;LC;96909;E;4;0;;1.95791;-0.06095;0.05680;Azul;551;;0
11;LC;96909;E;4;0;;1.95791;-0.06095;0.05680;Laranja;565;;0
11;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Branca;514;;0
11;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Azul;511;;0
11;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Amarela;512;;0
11;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Laranja;521;;0
11;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Verde;525;;1
11;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Rosa;513;;0
12;LC;63561;A;12;0;;4.43539;0.87957;0.17250;Azul;551;;0
12;LC;63561;A;12;0;;4.43539;0.87957;0.17250;Laranja;565;;0
12;LC;85873;B;16;0;;1.97404;1.20231;0.22056;Rosa;554;;0
12;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Amarela;512;;0
12;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Laranja;521;;0
12;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Verde;525;;1
12;LC;96915;C;2;0;;1.32994;0.45604;0.21237;Branca;553;;0
12;LC;98305;B;25;0;;2.68414;1.64734;0.20502;Amarela;552;;0
12;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Azul;511;;0
12;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Branca;514;;0
12;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Rosa;513;;0
13;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Amarela;512;;0
13;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Laranja;521;;0
13;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Verde;525;;1
13;LC;32254;A;9;0;;2.22449;-0.04931;0.21063;Azul;551;;0
13;LC;32254;A;9;0;;2.22449;-0.04931;0.21063;Laranja;565;;0
13;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Rosa;513;;0
13;LC;81992;D;12;0;;3.58061;0.76482;0.09494;Branca;514;;0
13;LC;83874;E;24;0;;1.72598;1.04219;0.25255;Rosa;554;;0
13;LC;84059;B;11;0;;2.64591;0.40747;0.17239;Amarela;552;;0
13;LC;86328;D;26;0;;2.34440;0.84675;0.21744;Branca;553;;0
13;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Azul;511;;0
14;LC;32261;E;24;0;;4.49928;0.23211;0.20659;Branca;514;;0
14;LC;42506;D;4;0;;2.40336;1.61117;0.20239;Amarela;552;;0
14;LC;82391;E;17;0;;2.58466;0.80198;0.13235;Azul;551;;0
14;LC;82391;E;17;0;;2.58466;0.80198;0.13235;Laranja;565;;0
14;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Rosa;513;;0
14;LC;98288;D;16;0;;2.46995;1.74995;0.18546;Branca;553;;0
14;LC;118070;A;18;0;;1.51246;-0.12978;0.05576;Rosa;554;;0
14;LC;118232;E;16;0;;0.78671;1.66055;0.07838;Azul;511;;0
14;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Amarela;512;;0
14;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Laranja;521;;0
14;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Verde;525;;1
15;LC;29602;E;10;0;;1.90316;0.23748;0.19437;Branca;553;;0
15;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Amarela;512;;0
15;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Laranja;521;;0
15;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Verde;525;;1
15;LC;60118;C;25;0;;1.96907;0.67402;0.18127;Azul;551;;0
15;LC;60118;C;25;0;;1.96907;0.67402;0.18127;Laranja;565;;0
15;LC;68155;E;23;0;;2.04517;1.17350;0.17667;Rosa;554;;0
15;LC;87976;E;3;0;;1.17170;0.89862;0.25164;Amarela;552;;0
15;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Rosa;513;;0
15;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Azul;511;;0
15;LC;118260;E;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;514;;0
16;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Amarela;512;;0
16;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Laranja;521;;0
16;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Verde;525;;1
16;LC;38780;B;4;0;;1.67379;1.04217;0.22283;Azul;551;;0
16;LC;38780;B;4;0;;1.67379;1.04217;0.22283;Laranja;565;;0
16;LC;68112;C;18;0;;1.88505;1.10658;0.25939;Branca;553;;0
16;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Azul;511;;0
16;LC;85383;B;16;0;;2.95200;1.14907;0.11488;Rosa;554;;0
16;LC;85630;C;11;0;;3.01058;0.26885;0.14950;Amarela;552;;0
16;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Rosa;513;;0
16;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Branca;514;;0
17;LC;49170;C;22;0;;2.92675;0.25567;0.17805;Azul;551;;0
17;LC;49170;C;22;0;;2.92675;0.25567;0.17805;Laranja;565;;0
17;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Azul;511;;0
17;LC;83334;C;24;0;;2.63584;1.00589;0.13800;Rosa;554;;0
17;LC;83841;D;30;0;;1.73320;0.41007;0.17919;Branca;553;;0
17;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Branca;514;;0
17;LC;97756;A;17;0;;1.12246;0.52192;0.21723;Amarela;552;;0
17;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Amarela;512;;0
17;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Laranja;521;;0
17;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Verde;525;;1
17;LC;118256;D;17;0;;1.92141;1.54986;0.12387;Rosa;513;;0
18;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Rosa;513;;0
18;LC;68223;B;14;0;;1.61358;0.81326;0.20639;Rosa;554;;0
18;LC;77451;B;18;0;;1.72426;0.41141;0.19842;Azul;551;;0
18;LC;77451;B;18;0;;1.72426;0.41141;0.19842;Laranja;565;;0
18;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Branca;514;;0
18;LC;89089;B;17;0;;2.12752;1.89142;0.24171;Branca;553;;0
18;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Azul;511;;0
18;LC;98288;D;16;0;;2.46995;1.74995;0.18546;Amarela;552;;0
18;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Amarela;512;;0
18;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Laranja;521;;0
18;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Verde;525;;1
19;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Branca;514;;0
19;LC;29602;E;10;0;;1.90316;0.23748;0.19437;Amarela;552;;0
19;LC;42875;B;15;0;;2.13801;1.23586;0.15857;Azul;551;;0
19;LC;42875;B;15;0;;2.13801;1.23586;0.15857;Laranja;565;;0
19;LC;82045;A;1;0;;1.76863;1.32651;0.16220;Branca;553;;0
19;LC;87984;E;15;0;;1.57794;1.16158;0.24936;Rosa;554;;0
19;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Azul;511;;0
19;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Rosa;513;;0
19;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Amarela;512;;0
19;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Laranja;521;;0
19;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Verde;525;;1
20;LC;68112;C;18;0;;1.88505;1.10658;0.25939;Amarela;552;;0
20;LC;77601;E;21;0;;0.94826;0.35004;0.25475;Azul;551;;0
20;LC;77601;E;21;0;;0.94826;0.35004;0.25475;Laranja;565;;0
20;LC;86434;A;20;0;;1.90198;0.92717;0.19817;Rosa;554;;0
20;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Azul;511;;0
20;LC;87976;E;3;0;;1.17170;0.89862;0.25164;Branca;553;;0
20;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Branca;514;;0
20;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Amarela;512;;0
20;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Laranja;521;;0
20;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Verde;525;;1
20;LC;118246;B;17;0;;0.98835;2.90060;0.22558;Rosa;513;;0
21;LC;37925;C;27;0;;6.73355;1.34252;0.15479;Rosa;554;;0
21;LC;85630;C;11;0;;3.01058;0.26885;0.14950;Branca;553;;0
21;LC;85873;B;16;0;;1.97404;1.20231;0.22056;Amarela;552;;0
21;LC;96915;C;2;0;;1.32994;0.45604;0.21237;Azul;551;;0
21;LC;96915;C;2;0;;1.32994;0.45604;0.21237;Laranja;565;;0
21;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Rosa;513;;0
21;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Amarela;512;;0
21;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Laranja;521;;0
21;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Verde;525;;1
21;LC;118246;B;17;0;;0.98835;2.90060;0.22558;Branca;514;;0
21;LC;118256;D;17;0;;1.92141;1.54986;0.12387;Azul;511;;0
22;LC;83874;E;24;0;;1.72598;1.04219;0.25255;Amarela;552;;0
22;LC;86328;D;26;0;;2.34440;0.84675;0.21744;Azul;551;;0
22;LC;86328;D;26;0;;2.34440;0.84675;0.21744;Laranja;565;;0
22;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Rosa;513;;0
22;LC;96909;E;4;0;;1.95791;-0.06095;0.05680;Rosa;554;;0
22;LC;97756;A;17;0;;1.12246;0.52192;0.21723;Branca;553;;0
22;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Amarela;512;;0
22;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Laranja;521;;0
22;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Verde;525;;1
22;LC;118232;E;16;0;;0.78671;1.66055;0.07838;Branca;514;;0
22;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Azul;511;;0
23;LC;47604;D;3;0;;3.23405;-0.16548;0.19344;Azul;551;;0
23;LC;47604;D;3;0;;3.23405;-0.16548;0.19344;Laranja;565;;0
23;LC;61358;D;28;0;;3.78515;1.03649;0.15304;Amarela;552;;0
23;LC;63561;A;12;0;;4.43539;0.87957;0.17250;Branca;553;;0
23;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Rosa;513;;0
23;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Amarela;512;;0
23;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Laranja;521;;0
23;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Verde;525;;1
23;LC;98305;B;25;0;;2.68414;1.64734;0.20502;Rosa;554;;0
23;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Branca;514;;0
23;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Azul;511;;0
24;LC;32254;A;9;0;;2.22449;-0.04931;0.21063;Branca;553;;0
24;LC;61312;A;12;0;;1.80505;0.43952;0.18841;Amarela;552;;0
24;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Branca;514;;0
24;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Amarela;512;;0
24;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Laranja;521;;0
24;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Verde;525;;1
24;LC;84059;B;11;0;;2.64591;0.40747;0.17239;Rosa;554;;0
24;LC;85698;E;16;0;;2.85248;1.45677;0.11615;Azul;551;;0
24;LC;85698;E;16;0;;2.85248;1.45677;0.11615;Laranja;565;;0
24;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Azul;511;;0
24;LC;118235;E;22;0;;1.44895;1.42761;0.14063;Rosa;513;;0
25;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Azul;511;;0
25;LC;42506;D;4;0;;2.40336;1.61117;0.20239;Rosa;554;;0
25;LC;50074;A;19;0;;2.05995;2.07823;0.24568;Azul;551;;0
25;LC;50074;A;19;0;;2.05995;2.07823;0.24568;Laranja;565;;0
25;LC;81621;B;23;0;;1.90137;0.70873;0.20236;Amarela;552;;0
25;LC;82391;E;17;0;;2.58466;0.80198;0.13235;Branca;553;;0
25;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Branca;514;;0
25;LC;118117;C;10;0;;2.52418;0.19306;0.22915;Rosa;513;;0
25;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Amarela;512;;0
25;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Laranja;521;;0
25;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Verde;525;;1
26;LC;47604;D;3;0;;3.23405;-0.16548;0.19344;Amarela;552;;0
26;LC;61358;D;28;0;;3.78515;1.03649;0.15304;Azul;551;;0
26;LC;61358;D;28;0;;3.78515;1.03649;0.15304;Laranja;565;;0
26;LC;86434;A;20;0;;1.90198;0.92717;0.19817;Branca;553;;0
26;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Branca;514;;0
26;LC;98288;D;16;0;;2.46995;1.74995;0.18546;Rosa;554;;0
26;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Rosa;513;;0
26;LC;118235;E;22;0;;1.44895;1.42761;0.14063;Azul;511;;0
26;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Amarela;512;;0
26;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Laranja;521;;0
26;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Verde;525;;1
27;LC;29602;E;10;0;;1.90316;0.23748;0.19437;Rosa;554;;0
27;LC;37925;C;27;0;;6.73355;1.34252;0.15479;Branca;553;;0
